Condition,Performance
V1O2,0.425
V2O2,0.6625
V3O2,0.375
V4O2,0.6
V5O2,0.45
V6O2,0.5
V7O2,0.4
V8O2,0.5375
V9O2,0.5
V10O2,0.5375
V11O2,0.5
V12O2,0.6083333333333333
V1O1,0.023809523809523808
