Condition,Performance
V1O2,0.55
V2O2,0.425
V3O2,0.575
V4O2,0.425
V5O2,0.475
V6O2,0.475
V7O2,0.3
V8O2,0.55
V9O2,0.477110725138422
V10O2,0.3
V11O2,0.625
V12O2,0.65
V1O1,0.023809523809523808
