Condition,Performance
V1O2,0.575
V2O2,1.0
V3O2,1.0
V4O2,0.7496860730593606
V5O2,0.5
V6O2,0.55
V7O2,1.0
V8O2,0.5
V9O2,0.5
V10O2,0.175
V11O2,0.5
V12O2,0.7
V12O1,0.07142857142857142
