Subject,Performance,cond_name
o2_beach_C4,0.802221107,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C5,0.651864285,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_beach_C6,0.800491686,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C1,0.797924512,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C2,0.806411838,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C3,0.74806239,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C4,0.597519634,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_forest_C5,0.605336908,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_forest_C3,0.657043339,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_forest_C4,0.709763154,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o2_forest_C6,0.588983276,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background
o1_highway_C1,0.85506525,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C2,0.654969338,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C3,0.849836637,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C4,0.771973881,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_highway_C5,0.631057839,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C1,0.906921221,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C2,0.666661105,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C3,0.582380658,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C4,0.579476732,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C5,0.668244069,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_highway_C6,0.683952788,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C1,0.696865909,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C2,0.595385804,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C3,0.500444609,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C4,0.908621707,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C5,0.711471374,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o1_beach_C6,0.938951245,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C1,0.697306775,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
o2_beach_C2,0.724868742,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background
