imprint_cond,cond_name,avg,std_dev,avg_dev,se
Norm_1fps,Viewpoint,0.48802713,0.069580631,0.04724059,0.022003327
Norm_1fps,Identity,0.619628148,0.07124978,0.053479854,0.022531159
Norm_10fps,Viewpoint,0.529097392,0.105221648,0.084187986,0.031725521
Norm_10fps,Identity,0.661511792,0.069333659,0.059820781,0.19945331
Scram_1fps,Viewpoint,0.579533375,0.080093162,0.066521717,0.025327682
Scram_1fps,Identity,0.598994293,0.070911378,0.0557494,0.022424147
Scram_10fps,Viewpoint,0.586961086,0.102712557,0.086470318,0.032480562
Scram_10fps,Identity,0.588455631,0.1000167,0.079884281,0.031628058
Obj1_Norm_10fps
