test.cond,avg,std_dev,avg_dev,se
Cat,0.668667832,0.116752925,0.105315561,0.033703666
Color,0.593036893,0.239241026,0.207685846,0.069062935
Imprinting,0.82321915,0.058440698,0.04701239,0.016870376
Inverted,0.672498421,0.152701497,0.123377311,0.044081125
Random,0.730821258,0.072417053,0.048767486,0.020905003
Rigid,0.770229882,0.08915021,0.074515771,0.025735449
Scrambled,0.615085331,0.114887832,0.088202552,0.03316526
Stationary,0.783065626,0.075887649,0.061427721,0.021906877
