experiment,imprint.cond,test.cond,avg,std_dev,avg_dev,se
1,fast,Viewpoint,0.73891416,0.046910571,0.036384684,0.015636857
1,fast,Identity,0.464079173,0.132822859,0.102535737,0.044274286
1,med,Viewpoint,0.687589072,0.105088368,0.076797051,0.03971967
1,med,Identity,0.642878771,0.079327468,0.068412818,0.029982965
1,slow,Viewpoint,0.574612237,0.066265428,0.050859282,0.020954968
1,slow,Identity,0.67977989,0.064826064,0.054399061,0.020499801
