test.cond,avg,std_dev,avg_dev,se
A,65.25,NA,NA,3.94
B,57.78,NA,NA,4.46
C,58.82,NA,NA,4.98
D,62.24,NA,NA,4.46
E,68.78,NA,NA,3.42
F,63.80,NA,NA,4.46
G,64.73,NA,NA,4.97
H,49.27,NA,NA,4.56
