test.cond,avg,std_dev,avg_dev,se
Imprinted Object Familiar,0.652731096,0.118585046,0.091188669,0.021298503
Novel Familiar,0.722057353,0.100726968,0.081165209,0.018091098
Both Familiar,0.707892313,0.109402977,0.087105549,0.019649355
Both Unfamiliar,0.725346606,0.101022594,0.084554842,0.018144193
