test.cond,avg,std_dev,avg_dev,se
1color,0.658206456,0.116711762,0.081252495,0.0369075
1shape,0.610765667,0.084799737,0.062939971,0.026816031
1shape&color,0.709508299,0.113511354,0.07979121,0.035895442
2color,0.783648938,0.139327049,0.104022025,0.044059081
2shape,0.703164725,0.134004893,0.101561082,0.042376068
2shape&color,0.807412561,0.11440134,0.080392005,0.03617688
binding,0.672718326,0.102088828,0.072680404,0.032283322
